Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
Random_1,10,24,spm,OK,0.013866999999999999,0.005241394
Random_1,10,24,tl,OK,0.008155,0.0052871704
Random_1,10,24,zlk,OK,0.008657,0.005306244
Random_1,10,24,pzlk,OK,0.38241,0.09214401
Random_1,10,24,fpi,OK,0.005741,0.09124184
Random_1,10,24,fpj,OK,0.002555,0.091098785
Random_1,10,24,si,OK,0.006853000000000001,0.09279251
Random_1,10,24,ptl,OK,0.07614499999999999,0.09221268
Random_2,10,27,spm,OK,0.012834,0.092308044
Random_2,10,27,tl,OK,0.004659,0.092868805
Random_2,10,27,zlk,OK,0.003066,0.09150314
Random_2,10,27,pzlk,OK,0.040055999999999994,0.09162521
Random_2,10,27,fpi,OK,0.005441,0.09149361
Random_2,10,27,fpj,OK,0.0030960000000000002,0.091350555
Random_2,10,27,si,OK,0.010530000000000001,0.092876434
Random_2,10,27,ptl,OK,0.063211,0.09303665
Random_3,10,20,spm,OK,0.0063219999999999995,0.09227753
Random_3,10,20,tl,OK,0.003687,0.0921669
Random_3,10,20,zlk,OK,0.0028049999999999998,0.091472626
Random_3,10,20,pzlk,OK,0.06255000000000001,0.091594696
Random_3,10,20,fpi,OK,0.005830999999999999,0.09146309
Random_3,10,20,fpj,OK,0.003176,0.09132004
Random_3,10,20,si,OK,0.008256,0.092876434
Random_3,10,20,ptl,OK,0.059885,0.092372894
Random_4,10,23,spm,OK,0.014748,0.0932312
Random_4,10,23,tl,OK,0.0056110000000000005,0.0921669
Random_4,10,23,zlk,OK,0.006071,0.09198761
Random_4,10,23,pzlk,OK,0.075544,0.0920105
Random_4,10,23,fpi,OK,0.007164,0.09143257
Random_4,10,23,fpj,OK,0.003466,0.09128952
Random_4,10,23,si,OK,0.0059819999999999995,0.09279251
Random_4,10,23,ptl,OK,0.090673,0.09303284
Random_5,10,30,spm,OK,0.011282,0.09272003
Random_5,10,30,tl,OK,0.004659,0.092250824
Random_5,10,30,zlk,OK,0.003617,0.09153366
Random_5,10,30,pzlk,OK,0.053823,0.09165573
Random_5,10,30,fpi,OK,0.002315,0.091524124
Random_5,10,30,fpj,OK,0.001403,0.09138107
Random_5,10,30,si,OK,0.002845,0.09220505
Random_5,10,30,ptl,OK,0.073089,0.09231186
