Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
tc+_10.txt,1160,2350,zlk,OK,118.671874,2.178256
tc+_11.txt,1518,3080,zlk,OK,228.075837,3.0981693
tc+_12.txt,1944,3948,zlk,OK,550.802009,4.2881536
tc+_13.txt,2444,4966,zlk,OK,1337.317818,5.7941236
tc+_14.txt,3024,6146,zlk,OK,3148.471432,7.6655607
tc+_15.txt,3690,7500,zlk,OK,7602.735249,9.959316
tc+_16.txt,4448,9040,zlk,OK,15748.443127,12.736926
tc+_17.txt,5304,10778,zlk,OK,43638.596790999996,16.063145
tc+_18.txt,6264,12726,zlk,OK,97824.19369100001,20.001556
